2026-08-15T14:17:06.300437266Z [inf]  Starting Container
2026-08-15T14:17:06.732566597Z [inf]  [Inicio] No hay jugadas pendientes en financial_tracker.json.
2026-08-15T14:17:06.732575219Z [inf]  🟢 Bot de Monitoreo de Fútbol en vivo en marcha. Horario activo: 7:00 AM - 9:00 PM (America/Mexico_City).
2026-08-15T14:17:06.732579690Z [inf]  [2:17:05 PM] Revisando partidos de fútbol en vivo...
2026-08-15T14:17:06.732583478Z [inf]  [Telegram] Bot conectado en producción: @Alertasenvivobot (Alertas en vivo)
2026-08-15T14:17:06.732608891Z [inf]  ◇ injected env (0) from .env // tip: ⌁ auth for agents [www.vestauth.com]
2026-08-15T14:17:06.732614400Z [inf]  ◇ injected env (0) from .env // tip: ⌁ auth for agents [www.vestauth.com]
2026-08-15T14:17:06.732617787Z [inf]  ✅ Bot de Telegram conectado exitosamente.
2026-08-15T14:17:06.732622298Z [inf]  [Config] 📂 Auditoría de prompts ACTIVA. Canal/Chat destino: @promptsgolesytarjetas
2026-08-15T14:17:06.732626035Z [inf]  [Inicio] Chat principal 890184744 auto-suscrito por defecto.
2026-08-15T14:17:07.323965492Z [inf]  [SafeOdds] Descargados momios en vivo para 158 partidos.
2026-08-15T14:17:07.757171343Z [inf]  [API-Sports] Consultando eventos en vivo para KFUM Oslo vs Lillestrom (fixture: 1494736)
2026-08-15T14:17:07.875981730Z [inf]  [API-Sports] Consultando eventos en vivo para Häcken II W vs Linköping W (fixture: 1501446)
2026-08-15T14:17:07.875988173Z [inf]  [API-Sports] Consultando eventos en vivo para Laholm vs Jonkopings Sodra (fixture: 1504502)
2026-08-15T14:17:07.877955164Z [inf]  [API-Sports] Consultando eventos en vivo para Hamilton Academical vs Airdrie United (fixture: 1557018)
2026-08-15T14:17:07.884969756Z [inf]  [API-Sports] Consultando eventos en vivo para Sevastopol vs Astrakhan (fixture: 1536019)
2026-08-15T14:17:07.884972981Z [inf]  [API-Sports] Consultando eventos en vivo para Maardu vs FC Tallinn (fixture: 1519612)
2026-08-15T14:17:07.884975579Z [inf]  [API-Sports] Consultando eventos en vivo para IFK Skövde vs Herrestads (fixture: 1510635)
2026-08-15T14:17:07.884978632Z [inf]  [API-Sports] Consultando eventos en vivo para Selfoss vs Fjolnir (fixture: 1543455)
2026-08-15T14:17:07.886775150Z [inf]  [API-Sports] Consultando eventos en vivo para Kolkheti Poti vs Telavi (fixture: 1507196)
